gender,ug_course,ug_specialization,interests,skills,ug_percentage,has_certifications,certification_title,is_working,first_job_title,masters_field
Male,mtech,electronics and communication engineering,researchsalesmarketingteachingtechnologyweb designingcontent writingdata analyticsdigital marketingdata scientistweb developmentmarket reserachsocial media marketinggardeningservicedesigninformation technologymachine learningexcel,programming language skillsanalytical skillscommunication skillsleadershipeditingproblem solving skillsdesigning skillswriting skillsmachine learning skillssalessocial media marketingrpythonartificial intelligencesqlarchitecturematlabgood communication skillsteachingawsphpprogramming language cjavascript,87.0,yes,ddip,yes,junior software engineer,masters in digital electronics
Female,btech,computer science engineering,it field,"python, java, sql, programming, problem solving skills",69.0,no,no,yes,mapping,none
Male,be,industrial engineering,financial analysisresearchtradingunderstand human behaviourunderstand human bodydata analyticsdata scientistgardening,critical thinkinggathering informationbusiness knowledgeanalytical skillsfinance related skillspeople managementcivil criminal lawcommunication skillsnegotiation skillsleadershipproduct knowledgeproblem solving skillsrisk management skillsdata visualization skills power bi tableau machine learning skillsinterpersonal skillspythonsql,72.0,no,no,yes,functional consultant,none
Male,btech,mechanical engineering,technologysupply chain analysis,business knowledgenegotiation skillsproduct knowledgesales,60.8,yes,"sap scm, supply chain management",yes,associate scm,none
Male,diploma,high pressure die casting,technology,designing skills,70.0,yes,catia,yes,engineer,none
Male,bcom,accountingfinance,financial analysis,company lawcompany secretarial workdue diligencecorporate lawindustrial and labour lawcompany lawcorporate social responsibilitypublic company compliancestatutory compliancesregulatory compliance,83.03,yes,no,yes,company secretary,company secretary professionalthe institute of company secretaries of india
Male,btech,computer science engineering,researchtechnologydata analyticsdesign,active listeningprogramming language skillscommunication skillsclient managementgood communication skills,68.02,no,no,yes,programmer analyst trainee pat,none
Female,btech,computer science engineering,teachingtechnologyweb designing,active listeningprogramming language skillsgathering informationmass communicationcontent creation,68.4,yes,mba,yes,software engineer,mba
Male,be,information technology,"technology, understand human behaviour, understand human body","analytic thinking, gathering informing, sql, risk managing",76.0,no,no,yes,risk analyst,masters in business analytics
Female,bca,computer applications,technology,active listeningnegotiation skills,71.25,no,no,yes,data entry,none
Male,btech,electrical and electronics engineering,software job,stack web development,78.85,yes,stack web development,yes,associate software engineer,none
Male,be,electrical and electronics engineering,all fields related to data sciencemachine learningsports industry,programming language skillsbusiness knowledgeanalytical skillscommunication skillspythonsql,73.53,yes,"ibm machine learning, full stack development, amcat corporate communications",yes,data scientistintern,pgdm in data science
Male,btech,computer science engineering,data scientistmachine learning,programming language skillsdata visualization skills power bi tableau machine learning skillscrlinuxpythonartificial intelligencesqljava,73.625,yes,power bi,yes,data analyst,none
Male,mba,sales and marketing,salesmarketing,business knowledgepeople managementcommunication skillsproduct knowledgesalessocial media marketing,72.0,no,no,yes,regional sales manager,masters in business administration
Male,btech,civil engineering,product life cycle management,agile methodologiesusability testingcmicrosoft officebentley inroadsproduct requirementsuser storiesmetricsproduct managementproduct innovationuser experience uxresearchbusiness developmentdigital marketing,72.675,yes,digital marketing,yes,product manager,none
Male,btech,electrical and electronics engineering,technology,power electronicssimulinkinvertersmatlabplcvariable frequency drivesswitchgearindustrial control,79.8,yes,simulation and analysis of control algorithms for igbt convertersinverters,yes,engineerpower electronics,masters in power electronics power systems
Female,bsc,computer science,technologydata analytics,programming language skillspeople managementcommunication skillseditingcsql,78.0,yes,"c, c sharp, fundamentals of project management",yes,publishing executive,master in computer science
Male,btech,computer science engineering,web development,active listeninghardware skillsprogramming language skillscritical thinkinggathering information,71.0,no,no,yes,senior software engineer,none
Male,btech,computer science engineering,technologysupply chain analysis,analytical skillsmachine learning skillspythonartificial intelligencesql,85.0,yes,no,yes,techno commercial,master in marketing management
Male,law hons,statistics,understand human behaviour,active listeningpeople managementcivil criminal lawnegotiation skillsmachine learning skills,61.4,no,no,yes,advocate,none
Male,btech,criminal manual,"research, salesmarketing, technology, entrepreneurship","analytic thinking, product knowledge, team work, logical skills",68.4,no,no,yes,sales executive,none
Male,btech,electrical and electronics engineering,researchteachingtechnologytrading,accounting skillsactive listeningcommunication skillsproduct knowledgeproblem solving skills,52.0,no,no,yes,electrician,none
Male,be,electrical and electronics engineering,researchteachingtechnologytradingunderstand human behaviourunderstand human bodydata scientistmarket reserachsocial media marketingindustires,programming language skillscritical thinkinganalytical skillsproblem solving skillspythonmedical knowledgematlabteaching,62.26,no,no,no,assistant professor,mtechheat power engineering and phdmechanical engineering
Male,btech,mechanical engineering,market reserachsap consultant in mmproject management,business knowledgeanalytical skillsfinance related skillsproblem solving skillsrisk management skillspresentation skills,80.75,yes,pmp,yes,project manager,none
Male,btech,electrical and electronics engineering,data analytics,analytical skillsdata visualization skills power bi tableau machine learning skillssocial media marketingrpythonartificial intelligence,63.9,yes,data science using python and r programming,yes,mechanical design engineer,master in design mechanicalprofessional data science
Male,btech,mechanical engineering,"trading, web designing, content writing, web development, social media marketing",chadoopjavasqlcore javajavascriptplsqlinformatica,80.37,yes,c,yes,system engineer,masters in computer science
Male,be,accountancy,entrepreneurship,"active listening, python, gathering informing, programming",88.35,yes,organic farming,yes,mechanical engineer,masters in science
Female,law hons,agriculture,"financial analysissocial causesinformation technologyagriculture, servicesexcel",accounting skillsfinance related skillscivil criminal lawnegotiation skillsrisk management skills,67.0,yes,company secretary,yes,cs,none
Female,btech,company law,data analytics,"javascript, python",73.15,yes,"javascript,python",yes,software engineer,none
Female,btech,physics,data analytics,javascript,65.55,yes,javascript,yes,associate software engineer,none
Female,btech,computer applications,technologyinformation technology,hardware skillsprogramming language skillscommunication skillsproblem solving skillsrisk management skillswriting skillspresentation skillslinuxpythonjavacloud computing,71.25,no,no,yes,software engineer,"yes, masters in it, specialisation in networking and cyber security"
Female,bcom,computer science engineering,financial analysis,teamworktime managementcompany secretarial worklegal compliancecommunicationteamleadershipinterpersonal skillspresentationsinterpersonal communicationcompanies actindirect taxation,67.45,yes,companies actindirect taxation,yes,company secretary,company secretary professionalthe institute of company secretaries of india
Male,btech,accountingfinance,teachingtechnologydata analyticsgovt jobdata scientistall fields related to data sciencedesignmachine learningnavy defence relatedoil and gas,accounting skillsactive listeningcritical thinkinganalytical skillspeople managementcommunication skillsproblem solving skillspythonteaching,80.275,yes,professional certification program data science and ai,yes,operation maintenance engineer,none
Male,bba,electrical machines,financial analysis,financial modelingfinancial analysis,84.55,yes,financial modelling,yes,financial analyst,none
Male,btech,finance,"research, understand human body, biotechnology",microbiology cell culture molecular biology bioprocesskatte virus,83.22,yes,antimicrobial resistance theory and methods cancer metastasis fundamentals of immunology t cells and signalingfundamentals of immunology innate immunity and bcell functiondrug discoverydrug delivery principles and engineering,yes,research associate,none
Male,be,biotechnology,data analytics,"analytic thinking, sql, oracle, communication skills, work under pressure, leadership, excel, interpersonal skills, problem solving skills, reporting",88.16,yes,six sigma principles,yes,data analyst,none
Prefer not to say,bcom,automobile engineering,information technology,cloud computing,47.0,yes,azure,yes,trainee developer,none
Male,bcom,commerce,take risk for profits,accounting skills,77.0,yes,yes,no,data analyst,masters in accounting
Male,bms,management,salesmarketing,"business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, excel, writing, reading, sales",0.0,no,no,yes,sr territory sales manager,none
Male,btech,computer science engineering,machine learning,java backend development c c problem solving skills jdbc programming object oriented programming string stringbuffer and stringbuilder in java design and prototype in adobe xd html cssjavascript for web developers responsive web design,84.55,yes,java backend development c c problem solving skills jdbc programming object oriented programming string stringbuffer and stringbuilder in java design and prototype in adobe xd html cssjavascript for web developers responsive web design,yes,full stack developer,none
Male,ballb,law,social justicesocial causes,civil criminal law,74.1,yes,certified fraud examiner cfe,yes,lawyerforensic investigations,none
Male,btech,mechanical engineering,supply chain analysiscontent writingdata analytics,accounting skillsactive listeningprogramming language skillsgathering informationwealth managementcontent creation,53.0,no,no,yes,assistent manger,assistent manger
Male,law hons,constitution,social justice,civil criminal law,73.0,no,no,yes,litigation,none
Male,btech,civil engineering,constructionconstruction manegement,"proeficiency in software like staad pro, etabs",83.41,yes,staadpro,yes,civil structural engineer,none
Female,bsc,biotechnology,"research, trading, understand human behaviour","ai, ml, python, critical thinking, analytic thinking, artistic skills, work under pressure, team work, logical skills, presentation skills",70.0,yes,data science and artificial intelligence programe,yes,scientist,masters in science
Male,be,business administration,"financial analysis, research, salesmarketing, trading, entrepreneurship","active listening, leadership, market study, team work, mass communication, writing, reading, sales",68.4,yes,master in diploma in designing cadd,yes,mechanical engineer,none
Male,bba,commerce,financial analysisnews coveragesalesmarketingsocial causesconstructionconstruction manegement,finance related skillspeople managementcommunication skillsleadershipsalessocial media marketing,67.0,no,no,yes,business,none
Male,btech,electronics telecom,financial analysis,programming language skillsanalytical skillsclinuxsqljavacloud computing,66.5,yes,diploma in advanced computing cdac,yes,software engineer,none
Male,diploma,electrical and electronics engineering,industires,active listening,62.985,no,no,yes,supply chain,none
Male,be,electronics and communication engineering,tradingdata analyticsdata scientistall fields related to data science,active listeningpeople managementleadershipcloud computing,59.0,yes,diploma in cloud computing,yes,associate it consultant,none
Male,ba,history,information technologysports industrysalesforce admin,hardware skillsleadershipdesigning skills,64.0,no,no,yes,buliding management system,none
Female,btech,computer science engineering,web designingdata scientist,active listeningprogramming language skillscritical thinkingcommunication skillsjavacloud computing,66.5,yes,no,yes,sales force,none
Male,be,thermal engineering,teachingtechnologyunderstand human body,active listeninggathering informationanalytical skillsleadershipmachine learning skillsinterpersonal skillsmedical knowledge,66.88,no,no,yes,deputy warden,none
Male,btech,civil engineering,teachingdesign,gathering informationfinance related skillscivil criminal law,66.0,no,no,yes,teacher,none
Male,btech,electronics and communication engineering,teaching,"active listening, work under pressure, team work, presentation skills, reading",65.55,no,no,yes,teaching,mtech
Male,btech,computer science engineering,"data scientist, web development, social causes, all fields related to data science, machine learning",bootstrapnodejsangularjiratrellojqueryjavascriptajaxphpcodeignitorloopback,72.2,yes,html,yes,web developer,none
Male,bachelor of management studies,business administration,"salesmarketing, entrepreneurship","business knowledge, people management, communication skills, logical skills, problem solving skills, reading, sales",61.56,no,no,yes,business consultant,master in commerce
Female,bsc,math,govt job,teaching experience,60.0,no,no,yes,teaching experience years,none
Female,bsc,biotechnology,researchsalesmarketingteachingtradingunderstand human behaviour,active listeningcritical thinkingbusiness knowledgepeople managementcommunication skillsleadershipproblem solving skillsrisk management skillswriting skillshospitalityclient managementgood communication skills,61.75,yes,pioneer lab course work,yes,asst manager,mbaha
Male,diploma in pharmacy,hospitality,hospitality,"accounting skills, business knowledge, editing, excel, designing skills, sales",84.55,yes,diploma in pharmacy,yes,medical practitioner,b pharm
Male,bsc,physics,news coveragesocial justicecontent writinggovt job,accounting skillscritical thinkinggathering informationartisticcreative skillsanalytical skills,67.0,no,no,yes,sub editor,master of journalism
Male,btech,biotechnology,"research, understand human body, biotechnology",polymerase chain reaction pcrmolecular biologylife sciencesmolecular biology protein purificationprotein chemistryprotein assaysprotein electrophoresisprotein chromatographywestern blottingprotein structure predictionprotein kinases protein structure protein characterization protein engineering,70.015,yes,industrial biotechnology,yes,research associate,none
Male,bsc,information technology,technology,active listeningcritical thinking,70.0,yes,no,yes,se,ma
Male,btech,biotechnalogy,"research, understand human body, biotechnology",phytochemistrymetabolomicsprotein expressionpcrmolecular biologylife sciencespolymerase chain reaction pcrdnabiochemistrybioinformaticscell cultureprotein purificationchemometrics,84.075,yes,smart metabolic engineering for plant biosynthesissmall molecule analysis by nmr spectroscopy and mass spectrometry,yes,assistant professor,none
Female,bachelor of journalism,pr,news coveragecontent writing,artisticcreative skillsmass communication,64.0,no,no,yes,subeditor,journalism
Male,btech,information technalogy,all fields related to data science,leadershiprpythonsql,54.44,yes,data science,yes,maths content developer,none
Female,bba,human resource,financial analysissalesmarketingtradingunderstand human behaviour,active listeningfinance related skillspeople managementcommunication skillsnegotiation skillsinterpersonal skillshr,76.95,yes,leadership and organizational behaviour,yes,hr executive,mba in human resource
Male,btech,civil engineering,teachingtechnologytradinghome interior designindustiresdesign,active listeninghardware skillscritical thinkinggathering informationartisticcreative skillsbusiness knowledge,71.0,no,no,yes,civil engineer,none
Male,mba,marketing,financial analysissalesmarketingtechnologyunderstand human behaviourunderstand human bodysupply chain analysisgame industry,accounting skillsartisticcreative skillsbusiness knowledgefinance related skillspeople managementcommunication skillsnegotiation skillsleadershipproblem solving skillsrisk management skillssalesclient management,69.0,yes,cpta,yes,mahindra and mahindra financial services limited,mba
Male,btech,electrical and electronics engineering,software job,"python, java",78.85,yes,"python, java",yes,rd engineer,none
Male,btech,mechanical engineering,technology,"excel, interpersonal skills, presentation skills, subject knowledge",65.0,no,no,yes,mechanical engineer,none
Female,btech,computer science engineering,web designingweb developmentsocial media marketinginformation technology,"programming language skillscommunication skillsleadershipproblem solving skillslinuxsqlgood communication skillsforeign languages french, spanish",84.55,no,no,yes,associate consultant,none
Male,btech,computer science and engineering,software job,no,76.0,no,no,yes,software engineer,none
Female,btech,electronics and communication engineering,software job,no,76.0,no,no,yes,junior programmer,none
Male,btech,mechanical engineering,software job,diploma in visual effects,73.15,yes,diploma in visual effects,yes,vfx artist,none
Male,btech,mechanical engineering,software job,no,73.15,no,no,yes,logical trainee associate,none
Male,be,automobile engineering,technology,"python, java, sql, oracle, programming, team work, linux, problem solving skills, subject knowledge",83.6,yes,practical ethical hacking,yes,plm consultant,masters in cybersecurity interest
Male,be,mechanical engineering,govt job,communication skills,71.82,yes,ntd,yes,quality engineer,master in industrial engineering
Male,be,mechanical,technology,designing skills,68.4,no,no,yes,design engineer,none
Male,btech,computer science engineering,technologytradingunderstand human behaviourdesign,critical thinkingartisticcreative skillsleadershipproduct knowledgeproblem solving skillsdesigning skills,61.75,yes,ux design,yes,ux designer,none
Male,bba,human resources,financial analysisresearchtechnologyunderstand human behaviourdata analyticsgame industry,accounting skillsbusiness knowledgepeople managementcommunication skillsproduct knowledgedata visualization skills power bi tableau sqlhrgood communication skills,50.635,no,no,no,swimming coach,none
Female,bsc,computer science engineering,"take risk for profits, teaching, technology","accounting skills, business knowledge, programming, people management, leadership, creativity skills, team work, excel, presentation skills, problem solving skills, reporting",58.0,yes,c programming,no,office assistant and acoounts,masters in computer science
Female,bca,computers science,researchtechnologyweb designingcontent writingdigital marketing,active listeningprogramming language skillscritical thinkinggathering informationartisticcreative skillscommunication skillsproblem solving skillsdesigning skillswriting skillscpresentation skillslinuxartificial intelligencesqlcontent creationjavacloud computing,76.89,yes,"mta networking, cisco networking, mta dbms, hubspot content marketing, alison content strategy, google adwords etc",yes,software programmer,masters in computer applications
Male,bsc,statistics,financial analysisresearchsalesmarketingtechnologytradingunderstand human behaviourunderstand human bodysupply chain analysisweb designingcontent writingdata analyticsdata scientistweb developmentmarket reserachsocial media marketinggardeningsocial causes,accounting skillsactive listeningprogramming language skillscritical thinkinggathering informationanalytical skillsfinance related skillscivil criminal lawcommunication skillsproblem solving skillsrisk management skillsdesigning skillsdata visualization skills power bi tableau machine learning skillssalessocial media marketinginterpersonal skillspresentation skillsrpythonsqlcontent creationjavacloud computingarchitecture,66.0,yes,data science using python and r,yes,assistant system engineer,masters in statistics
Male,bca,mca,technologyweb designingdata analyticsdata scientistweb developmentall fields related to data sciencemachine learning,programming language skillspythonsqljavaawsjavascript,74.29,no,no,yes,backend developer,none
Male,btech,mechanical engineering,oil and gas,critical thinkingpeople managementcommunication skillsnegotiation skillsclient managementrefinery operations,80.75,yes,reliability engineering,yes,maintenance engineermechanical,none
Male,btech,civil engineering,"take risk for profits, trading, understand human behaviour","analytic thinking, people management, creativity skills, excel, reading",76.0,yes,pgdacm,yes,planning manager,constrution management
Male,be,mathematics,home interior design,programming language skillscritical thinkingediting,63.65,yes,solid works,no,operator,none
Male,be,automobile engineering,technologysports industry,gathering informationpeople managementcommunication skillsproduct knowledgeproblem solving skillsjavaclient managementgood communication skills,67.45,no,diploma in business and management,yes,associate software engineer,none
Male,bsc,microbiology,research,protein expression protein purification molecular biology biochemistry protein chemistry western blotting cell culture cell biology bioinformaticspolymerase chain reaction pcr molecular cloning microscopychromatographyenzyme kineticsbiophysics electron microscopycryoemxray crystallographystatic light scatteringchromatrography,84.265,yes,protein expressionpolymerase chain reaction pcr,yes,research associate,none
Female,btech,computer science engineering,technologyweb designingdata analytics,communication skillswriting skillscpythonsqljava,79.0,no,no,yes,associate consultant,none
Female,btech,computer science,web development,programming language skillsproblem solving skills,87.685,no,no,yes,associate technology l,none
Male,ba,general,understand human behaviourunderstand human bodygovt jobindustires,active listeninghardware skillscommunication skillsnegotiation skills,72.0,no,no,yes,lab assistent,none
Female,btech,computer science engineering,web designing,critical thinkingfinance related skillspeople managementcommunication skillsleadershipdesigning skillssocial media marketing,80.655,no,no,no,test engineer,masters in compter science
Male,btech,civil engineering,industiressap consultant in mmconstruction,"proeficiency in software like staad pro, etabs",65.55,yes,revit,yes,civil structural engineer,masters in structural engineering
Male,btech,civil engineering,constructionconstruction manegementurban planningproject management,"active listeningcritical thinkinggathering informationanalytical skillsfinance related skillsproeficiency in software like staad pro, etabsgood communication skillssap",77.615,yes,ms project,yes,civil structural engineer,masters in structural engineering
Male,bsc,physics,social justice,"business knowledge, sales",74.1,no,no,no,teacher,masters in data science
Male,btech,mechanical engineering,technology,"ai, ml, python, sql, negotiation skills, work under pressure, leadership, news gathering, editing, market study, team work, derivatives, excel, tableau, catia, ansys, solidworks, caesar",67.545,yes,data science,no,mechanical engineer,none
Male,btech,mechanical engineering,technology,"business knowledge, leadership, market study",80.75,no,no,yes,mechanical engineer,none
Male,mba,business administration,"financial analysis, salesmarketing","accounting skills, business knowledge, product knowledge, sales",60.0,no,no,no,marketing manager,masters in business administration
Male,btech,computer science engineering,technologydata analyticsdata scientist,programming language skillscritical thinkingartisticcreative skillsanalytical skillsmachine learning skillspythonsqljava,68.4,no,no,yes,data scientist,none
Female,btech,communication political science,technology,"team work, excel, designing skills",66.5,yes,nptel,yes,graduate quality engineer,none
Male,bsc,computers,web designing,accounting skillsactive listeningprogramming language skillsproblem solving skillsdesigning skillsrpythonsqlhrmatlab,65.0,no,no,yes,erp implementation,none
Female,bcom,cost and work accounting,data entry or telecalling work,"team work, excel, writing",58.0,yes,i have completed mscit and tally course with government cerificate,no,data analyst,tally computer
Female,ba,english,researchteachinggovt jobdesignsports industry,people managementleadershipdesigning skillswriting skillssocial media marketing,83.0,no,no,yes,teacher,master in english
Female,btech,electronics and communication engineering,data analytics,no,78.85,no,no,yes,junior system engineer trainee,none
Male,btech,mechanical engineering,technologydata analyticsdata scientist,programming language skillsanalytical skillspeople managementcommunication skillsleadershipproblem solving skillspythonsqljavateaching,60.0,no,no,yes,customer operation associate,none
Female,be,civil engineering,technology,"people management, observation skills, designing skills",85.0,no,not done,yes,structural engineer,masters in structural engineer
Male,be,mechanical engineering,researchtechnologyindustiresdesignproduct life cycle management,analytical skillscommunication skillsproduct knowledgeproblem solving skillsrisk management skillsdesigning skillswriting skillspresentation skills,74.1,yes,design engineer,yes,design engineer,none
Male,btech,computer science engineering,"data scientist, web development, social causes, all fields related to data sciencemachine learning",cjavascriptdata structurecss jquery angular js javascript html cssssis ssms python reactjs java enterprise edition,67.45,yes,querying microsoft sql server,yes,software engineer,none
Male,mca,computer application,technology,programming language skillscritical thinkingleadership,62.0,yes,"manual testing, selenium",yes,qa analyst,master of computer application
Male,btech,computer science engineering,"data scientist, web development, social causes, all fields related to data science, machine learning",csscjavascriptmysqljavasqlcascading style sheets csswebsite developmentjqueryhtmllinuxajaxsoftware developmentxmlcakephpcodeigniterlaravelsymfonysymfony frameworkgitangular command line interface cliyii,76.0,yes,phphtml,yes,web developer,none
Female,bca,java,information technology,communication skillswriting skillsc,86.0,no,no,yes,data entry,none
Female,bsc,physics,news coverageresearchsalesmarketingsocial justiceteaching,gathering informationartisticcreative skillsanalytical skillscommunication skills,68.4,no,no,no,sales,physics
Male,btech,electronics and communication engineering,"research, technology","python, sql",74.1,yes,core and advance python,yes,devops engineer,masters in data science
Female,btech,electronics and communication,data analyticssocial media marketing,gathering informationartisticcreative skillsbusiness knowledgeanalytical skillsproblem solving skillswriting skillspresentation skillsgood communication skills,68.21,yes,project management,yes,key account manager,yes pgdm in operations analytics
Male,btech,civil,constructionconstruction manegement,"proeficiency in software like staad pro, etabs",79.42,yes,bim for construction management and planning,yes,civil structural engineer,masters in construction management
Male,btech,mechanical engineering,data science and artificial intelligence,"ml, python, analytic thinking, business knowledge, leadership, team work, excel, r, problem solving skills, data science completed by using python and r",63.9,yes,certification of completion data science using python and r,yes,mechanical engineer,post graduation in mechanical design and professional data science
Female,be,computer science engineering,technologycontent writingweb development,programming language skillsbusiness knowledgecommunication skillsproblem solving skills,65.0,no,no,yes,associate consultant,none
Male,be,mechanical engineering,technologydata scientistweb development,programming language skillscommunication skillssqljava,75.39,no,no,yes,trainee,none
